areacode;origin;area
EG;EGgenfelden;Landkreis Rottal-Inn
EH;EisenHüttenstadt;Landkreis Oder-Spree
EI;EIchstätt;Landkreis Eichstätt
EIC;EIChsfeld;Landkreis Eichsfeld
EIL;EIsLeben;Landkreis Mansfeld-Südharz
EIN;EINbeck;Landkreis Northeim
EIS;EISenberg;Saale-Holzland-Kreis
EL;EmsLand;Landkreis Emsland
EM;EMmendingen;Landkreis Emmendingen
EMD;EMDen;Stadt Emden
EMS;EMS;Rhein-Lahn-Kreis
EN;ENnepe;Ennepe-Ruhr-Kreis
ER;ERlangen;Stadt Erlangen
ERB;ERBach;Odenwaldkreis
ERH;ERlangen, Höchstadt;Landkreis Erlangen-Höchstadt
ERK;ERKelenz;Kreis Heinsberg
ERZ;ERZgebirge;Erzgebirgskreis
ES;ESslingen;Landkreis Esslingen
ESB;ESchenBach;
ESW;ESchWege;Werra-Meißner-Kreis
EU;EUskirchen;Kreis Euskirchen
EW;EbersWalde;Landkreis Barnim
F;Frankfurt;Stadt Frankfurt am Main
FB;FriedBerg;Wetteraukreis
FD;FulDa;Landkreis Fulda
FDB;FrieDBerg;Landkreis Aichach-Friedberg
FDS;FreuDenStadt;Landkreis Freudenstadt
FEU;FEUchtwangen;Landkreis Ansbach
FF;FrankFurt;Stadt Frankfurt (Oder)
FFB;FürstenFeldBruck;Landkreis Fürstenfeldbruck
FG;FreiberG;Landkreis Mittelsachsen
FI;FInsterwalde;Landkreis Elbe-Elster
FKB;FranKenBerg;Landkreis Waldeck-Frankenberg
FL;FLensburg;Stadt Flensburg
FLÖ;FLÖha;Landkreis Mittelsachsen
FN;FriedrichshafeN;Bodenseekreis
FO;FOrchheim;Landkreis Forchheim
FOR;FORst;Landkreis Spree-Neiße
FR;FReiburg;Landkreis Breisgau-Hochschwarzwald
FRG;FReyung, Grafenau;Landkreis Freyung-Grafenau
FRI;FRIesland;Landkreis Friesland
FRW;FReienWalde;Landkreis Märkisch-Oderland
FS;FreiSing;Landkreis Freising
FT;FrankenThal;Stadt Frankenthal (Pfalz)
FTL;FreiTaL;Landkreis Sächsische Schweiz-Osterzgebirge
FÜ;FÜrth;Landkreis Fürth
FÜS;FÜSsen;Landkreis Ostallgäu
FW;FürstenWalde;Landkreis Oder-Spree
FZ;FritZlar;Schwalm-Eder-Kreis
G;Gera;Stadt Gera
GA;GArdelegen;Altmarkkreis Salzwedel
GAN;GANdersheim;Landkreis Northeim
GAP;GArmisch-Partenkirchen;Landkreis Garmisch-Partenkirchen
GC;GlauChau;Landkreis Zwickau
GD;GmünD;Ostalbkreis
GDB;GaDeBusch;Landkreis Nordwestmecklenburg
GE;GElsenkirchen;Stadt Gelsenkirchen
GEL;GELdern;Kreis Kleve
GEO;GErOlzhofen;
GER;GERmersheim;Landkreis Germersheim
GF;GiFhorn;Landkreis Gifhorn
GG;Groß-Gerau;Kreis Groß-Gerau
GHA;GeitHAin;Landkreis Leipzig
GHC;GräfenHainiChen;Landkreis Wittenberg
GI;GIeßen;Landkreis Gießen
GK;GeilenKirchen;Kreis Heinsberg
GL;GLadbach;Rheinisch-Bergischer Kreis
GLA;GLAdbeck;Kreis Recklinghausen
GM;GumMersbach;Oberbergischer Kreis
GMN;GrimMeN;Landkreis Vorpommern-Rügen
GN;GelnhauseN;Main-Kinzig-Kreis ohne die Stadt Hanau
GNT;GeNThin;Landkreis Jerichower Land
GÖ;GÖttingen;Landkreis Göttingen
GOA;GOAr;Rhein-Hunsrück-Kreis
GOH;GOarsHausen;Rhein-Lahn-Kreis
GP;GöpPingen;Landkreis Göppingen
GR;GöRlitz;Landkreis Görlitz
GRA;GRAfenau;Landkreis Freyung-Grafenau
GRH;GRoßenHain;Landkreis Meißen
GRI;GRIesbach;
GRM;GRimMa;Landkreis Leipzig
GRZ;GReiZ;Landkreis Greiz
GS;GoSlar;Landkreis Goslar
GT;GüTersloh;Kreis Gütersloh
GTH;GoTHa;Landkreis Gotha
GÜ;GÜstrow;Landkreis Rostock
GUB;GUBen;Landkreis Spree-Neiße
GUN;GUNzenhausen;Landkreis Weißenburg-Gunzenhausen
GV;GreVenbroich;Rhein-Kreis Neuss
GVM;GreVesMühlen;Landkreis Nordwestmecklenburg
GW;GreifsWald;Landkreis Vorpommern-Greifswald
GZ;GünZburg;Landkreis Günzburg
H;Hannover;Region Hannover
HA;HAgen;Stadt Hagen
HAB;HAmmelBurg;Landkreis Bad Kissingen
HAL;HALle;Stadt Halle (Saale)
HAM;HAMm;Stadt Hamm
HAS;HASsfurt;Landkreis Haßberge
HB;Hansestadt Bremen;Stadt Bremen
HBN;Hansestadt Bremen;Landkreis Hildburghausen
HBS;HildBurghauseN;Landkreis Harz
HC;HainiChen;Landkreis Mittelsachsen
HCH;HeCHingen;Zollernalbkreis
HD;HeiDelberg;Stadt Heidelberg
HDH;HeiDenHeim;Landkreis Heidenheim
HDL;HalDensLeben;Landkreis Börde
HE;HElmstedt;Landkreis Helmstedt
HEB;HErsBruck;Landkreis Nürnberger Land
HEF;HErsFeld;Landkreis Hersfeld-Rotenburg
HEI;HEIde;Kreis Dithmarschen
HEL;HEssischer Landtag;Hessen
HER;HERne;Stadt Herne
HET;HETtstedt;Landkreis Mansfeld-Südharz
HF;HerFord;Kreis Herford
HG;HomburG;Hochtaunuskreis
HGN;HaGeNow;Landkreis Ludwigslust-Parchim
HGW;Hansestadt GreifsWald;Stadt Greifswald
HH;Hansestadt Hamburg;Freie und Hansestadt Hamburg
HHM;HoHenMölsen;Burgenlandkreis
HI;HIldesheim;Landkreis Hildesheim
HIG;HeilIGenstadt;Landkreis Eichsfeld
HIP;HIlPoltstein;Landkreis Roth
HK;HeideKreis;Landkreis Heidekreis
HL;Hansestadt Lübeck;Stadt Lübeck
HM;HaMeln;Landkreis Hameln-Pyrmont
HMÜ;Hann. MÜnden;Landkreis Göttingen
HN;HeilbronN;Stadt Heilbronn
HO;HOf;Landkreis Hof
HOG;HOfGeismar;Landkreis Kassel
HOH;HOfHeim;Landkreis Haßberge
HOL;HOLzminden;Landkreis Holzminden
HOM;HOMburg;Saarpfalz-Kreis 
HOR;HORb;Landkreis Freudenstadt
HÖS;HÖchStadt;Landkreis Erlangen-Höchstadt
HOT;HOhensTein;Landkreis Zwickau
HP;HepPenheim;Kreis Bergstraße
HR;HombeRg;Schwalm-Eder-Kreis
HRO;Hansestadt ROstock;Stadt Rostock
HS;HeinSberg;Kreis Heinsberg
HSK;HochSauerlandKreis;Hochsauerlandkreis
HST;Hansestadt STralsund;Stadt Stralsund
HU;HanaU;Stadt Hanau
HV;HaVelberg;Landkreis Stendal
HVL;HaVelLand;Landkreis Havelland
HWI;Hansestadt WIsmar;Stadt Wismar
HX;HöXter;Kreis Höxter
HY;HoYerswerda;Landkreis Bautzen
HZ;HarZ;Landkreis Harz
IGB;InGBert;Stadt St. Ingbert
IK;Ilm-Kreis;Ilm-Kreis
IL;ILmenau;Ilm-Kreis
ILL;ILLertissen;Landkreis Neu-Ulm
IN;INgolstadt;Stadt Ingolstadt
IZ;ItZehoe;Kreis Steinburg
J;Jena;Stadt Jena
JE;JEssen;Landkreis Wittenberg
JL;Jerichower Land;Landkreis Jerichower Land
JÜL;JÜLich;Kreis Düren
K;Köln;Stadt Köln
KA;KArlsruhe;Landkreis Karlsruhe
KB;KorBach;Landkreis Waldeck-Frankenberg
KC;KronaCh;Landkreis Kronach
KE;KEmpten;Stadt Kempten (Allgäu)
KEH;KElHeim;Landkreis Kelheim
KEL;KEhL;Ortenaukreis
KEM;KEMnath;Landkreis Tirschenreuth
KF;KauFbeuren;Stadt Kaufbeuren
KG;KissinGen;Landkreis Bad Kissingen
KH;KreuznacH;Landkreis Bad Kreuznach
KI;KIel;Stadt Kiel
KIB;KIrchheimBolanden;Donnersbergkreis
KK;Kempen, Krefeld;Kreis Viersen
KL;KaisersLautern;Landkreis Kaiserslautern
KLE;KLEve;Kreis Kleve
KLZ;KLötZe;Altmarkkreis Salzwedel
KM;KaMenz;Landkreis Bautzen
KN;KoNstanz;Landkreis Konstanz
KO;KOblenz;Stadt Koblenz
KÖN;KÖNigshofen;Landkreis Rhön-Grabfeld
KÖT;KÖThen;Landkreis Anhalt-Bitterfeld
KÖZ;KÖtZting;Landkreis Cham
KR;KRefeld;Stadt Krefeld
KRU;KRUmbach;Landkreis Günzburg
KS;KasSel;Landkreis Kassel und Stadt Kassel
KT;KiTzingen;Landkreis Kitzingen
KU;KUlmbach;Landkreis Kulmbach
KÜN;KÜNzelsau;Hohenlohekreis
KUS;KUSel;Landkreis Kusel
KW;Königs Wusterhausen;Landkreis Dahme-Spreewald
KY;KYritz;Landkreis Ostprignitz-Ruppin
KYF;KYFfhäuser;Kyffhäuserkreis
L;Leipzig;Sachsen
LA;LAndshut;Landkreis Landshut
LAN;LANdau;Landkreis Dingolfing-Landau
LAU;LAUf;Landkreis Nürnberger Land
LB;LudwigsBurg;Landkreis Ludwigsburg
LBS;LoBenStein;Saale-Orla-Kreis
LBZ;LüBZ;Landkreis Ludwigslust-Parchim
LC;LuCkau;Landkreis Dahme-Spreewald
LD;LanDau;Stadt Landau in der Pfalz
LDK;Lahn-Dill-Kreis;Lahn-Dill-Kreis ohne die Stadt Wetzlar
LDS;Landkreis Dahme-Spreewald;Landkreis Dahme-Spreewald
LEO;LEOnberg;Landkreis Böblingen
LER;LEeR;Landkreis Leer
LEV;LEVerkusen;Stadt Leverkusen
LF;LauFen;
LG;LüneburG;Landkreis Lüneburg
LH;LüdingHausen;Kreis Coesfeld, Kreis Unna
LI;LIndau;Landkreis Lindau (Bodensee)
LIB;LIeBenwerda;Landkreis Elbe-Elster
LIF;LIchtenFels;Landkreis Lichtenfels
LIP;LIPpe;Kreis Lippe
LL;Landsberg am Lech;Landkreis Landsberg am Lech
LM;LiMburg;Landkreis Limburg-Weilburg
LN;LübbeN;Landkreis Dahme-Spreewald
LÖ;LÖrrach;Landkreis Lörrach
LÖB;LÖBau;Landkreis Görlitz
LOS;Landkreis Oder-Spre;Landkreis Oder-Spree
LP;LiPpstadt;Kreis Soest
LR;LahR;Ortenaukreis
LRO;Landkreis ROstock;Landkreis Rostock
LSA;Land Sachsen-Anhalt;Sachsen-Anhalt
LSN;Landtag SachseN;Sachsen
LSZ;LangenSalZa;Unstrut-Hainich-Kreis
LU;LUdwigshafen;Stadt Ludwigshafen am Rhein
LÜN;LÜNen;Kreis Unna
LUP;LUdwigslust, Parchim;Landkreis Ludwigslust-Parchim
LWL;LudWigsLust;Landkreis Ludwigslust-Parchim
M;München;Landkreis München
MA;MAnnheim;Stadt Mannheim
MAB;MArienBerg;Erzgebirgskreis
MAI;MAInburg;
MAK;MArKtredwitz;Landkreis Wunsiedel im Fichtelgebirge
MAL;MALlersdorf;
MB;MiesBach;Landkreis Miesbach
MC;MalChin;
MD;MagDeburg;Stadt Magdeburg
ME;MEttmann;Kreis Mettmann
MED;MElDorf;Kreis Dithmarschen
MEG;MElsunGen;Schwalm-Eder-Kreis
MEI;MEIßen;Landkreis Meißen
MEK;Mittlerer ErzgebirgsKreis;Erzgebirgskreis
MEL;MELle;Landkreis Osnabrück
MER;MERseburg;Saalekreis
MET;MEllrichstadT;Landkreis Rhön-Grabfeld
MG;MönchenGladbach;Stadt Mönchengladbach
MGH;MerGentHeim;Main-Tauber-Kreis
MGN;MeininGeN;Landkreis Schmalkalden-Meiningen
MH;MülHeim;Stadt Mülheim an der Ruhr
MHL;MüHLhausen;Unstrut-Hainich-Kreis
MI;MInden;Kreis Minden-Lübbecke
MIL;MILtenberg;Landkreis Miltenberg
MK;Märkischer Kreis;Märkischer Kreis
MKK;Main-Kinzig-Kreis;Main-Kinzig-Kreis ohne die Stadt Hanau
ML;Mansfelder Land;Landkreis Mansfeld-Südharz
MM;MemMingen;Stadt Memmingen
MN;MiNdelheim;Landkreis Unterallgäu
MO;MOers;Kreis Wesel
MOD;MarktOberDorf;Landkreis Ostallgäu
MOL;Märkisch-OderLand;Landkreis Märkisch-Oderland
MON;MONschau;Städteregion Aachen, Kreis Düren
MOS;MONschau;Neckar-Odenwald-Kreis
MQ;Merseburg, Querfurt;Saalekreis
MR;MaRburg;Landkreis Marburg-Biedenkopf
MS;MünSter;Stadt Münster
MSE;Mecklenburgische SEenplatte;
MSH;Mansfeld, SüdHarz;Landkreis Mansfeld-Südharz
MSP;Main, SPessart;Landkreis Main-Spessart
MST;Mecklenburg-STrelitz;
MTK;Main-Taunus-Kreis;Main-Taunus-Kreis
MTL;MuldenTaL;Landkreis Leipzig
MÜ;MÜhldorf;Landkreis Mühldorf am Inn
MÜB;MÜnchBerg;
MÜR;MÜRitz;
MVL;Mecklenburg-Vorpommerscher Landtag;Mecklenburg-Vorpommern, Landesregierung, Landtag und Polizei
MW;MittWeida;Landkreis Mittelsachsen
MY;MaYen;Landkreis Mayen-Koblenz
MYK;MaYen, Koblenz;Landkreis Mayen-Koblenz
MZ;MainZ;Landkreis Mainz
MZG;MerZiG;Landkreis Merzig-Wadern
N;Nürnberg;Landkreis Nürnberg
NAB;NABburg;
NAI;NAIla;Landkreis Hof
NAU;NAUen;Landkreis Havelland
NB;NeuBrandenburg;Stadt Neubrandenburg
ND;Neuburg an der Donau;Landkreis Neuburg-Schrobenhausen
NDH;NorDHausen;Landkreis Nordhausen
NE;NEuss;Rhein-Kreis Neuss
NEA;NEustadt an der Aisch;
NEB;NEBra;Burgenlandkreis
NEC;NEustadt bei Coburg;Stadt Coburg und Landkreis Coburg
NEN;NEuNburg;Landkreis Schwandorf
NES;NEustadt an der Saale;Landkreis Rhön-Grabfeld
NEW;NEustadt an der Waldnaab;Landkreis Neustadt an der Waldnaab
NF;NordFriesland;Kreis Nordfriesland
NH;NeuHaus;Landkreis Sonneberg
NI;NIenburg;Landkreis Nienburg/Weser
NK;NeunKirchen;Landkreis Neunkirchen
NL;Niedersächsischer Landtag;Niedersachsen, Landesregierung und Landtag
NM;NeuMarkt;Landkreis Neumarkt in der Oberpfalz
NMB;NauMBurg;Burgenlandkreis
NMS;NeuMünSter;Stadt Neumünster
NÖ;NÖrdlingen;Landkreis Donau-Ries
NOH;NOrdHorn;Landkreis Grafschaft Bentheim
NOL;Niederschlesische OberLausitz;Landkreis Görlitz
NOM;NOrtheiM;Landkreis Northeim
NOR;NORden;Landkreis Aurich
NP;NeurupPin;Landkreis Ostprignitz-Ruppin
NR;Neuwied am Rhein;Landkreis Neuwied
NRW;NordRhein-Westfalen;Nordrhein-Westfalen
NT;NürTingen;Landkreis Esslingen
NU;Neu-Ulm;Landkreis Neu-Ulm
NVP;NordVorPommern;Landkreis Vorpommern-Rügen
NW;Neustadt an der Weinstraße;Stadt Neustadt an der Weinstraße
NWM;NordWestMecklenburg;Landkreis Nordwestmecklenburg
NY;NieskY;Landkreis Görlitz
NZ;NeustrelitZ;
OA;OberAllgäu;Landkreis Oberallgäu,
OAL;OstALlgäu;Landkreis Ostallgäu
OB;OBerhausen;Stadt Oberhausen
OBB;OBernBurg;Landkreis Miltenberg
OBG;OsterBurG;Landkreis Stendal
OC;OsChersleben;Landkreis Börde
OCH;OCHsenfurt;Landkreis Würzburg
OD;OlDesloe;Kreis Stormarn
OE;OlpE;Kreis Olpe
OF;OFfenbach;Landkreis Offenbach am Main
OG;OffenburG;Ortenaukreis
OH;OstHolstein;Kreis Ostholstein
OHA;Osterode am HArz;Landkreis Göttingen
ÖHR;ÖHRingen;Hohenlohekreis
OHV;OberHaVel;Landkreis Oberhavel
OHZ;OsterHolZ;Landkreis Osterholz
OK;OhreKreis;Landkreis Börde
OL;OLdenburg;Landkreis Oldenburg
OP;OPladen;Stadt Leverkusen
OPR;OstPrignitz, Ruppin;Landkreis Ostprignitz-Ruppin
OS;OSnabrück;Landkreis Osnabrück 
OSL;OberSpreewald, Lausitz;Landkreis Oberspreewald-Lausitz
OVI;OberVIechtach;Landkreis Schwandorf
OVL;OberVogtLand;Vogtlandkreis
OZ;OschatZ;Landkreis Nordsachsen
P;Potsdam;Stadt Potsdam
PA;PAssau;Landkreis Passau
PAF;PfAFfenhofen;Landkreis Pfaffenhofen an der Ilm
PAN;PfArrkircheN;Landkreis Rottal-Inn
PAR;PARsberg;Landkreis Neumarkt in der Oberpfalz
PB;PaderBorn;Kreis Paderborn
PCH;ParCHim;Landkreis Ludwigslust-Parchim
PE;PEine;Landkreis Peine
PEG;PEGnitz;Landkreis Forchheim
PF;PForzheim;Enzkreis
PI;PInneberg;Kreis Pinneberg
PIR;PIRna;Landkreis Sächsische Schweiz-Osterzgebirge
PL;PLauen;Vogtlandkreis
PLÖ;PLÖn;Kreis Plön
PM;Potsdam, Mittelmark;Landkreis Potsdam-Mittelmark
PN;PößNeck;Saale-Orla-Kreis
PR;PRignitz;Landkreis Prignitz
PRÜ;PRÜm;Eifelkreis Bitburg-Prüm
PS;PirmaSens;Landkreis Südwestpfalz
PW;PaseWalk;Landkreis Vorpommern-Greifswald
PZ;PrenZlau;Landkreis Uckermark
QFT;QuerFurT;Saalekreis
QLB;QuedLinBurg;Landkreis Harz
R;Regensburg;Landkreis Regensburg
RA;Württemberg;Landkreis Rastatt
RC;ReiChenbach;Vogtlandkreis
RD;RenDsburg;Kreis Rendsburg-Eckernförde
RDG;Ribnitz-DamGarten;Landkreis Vorpommern-Rügen
RE;REcklinghausen;Kreis Recklinghausen
REG;REGen;Landkreis Regen
REH;REHau;
REI;REIchenhall;Landkreis Berchtesgadener Land
RG;Riesa, Großenhain;Landkreis Meißen
RH;RotH;Landkreis Roth
RI;RInteln;Landkreis Schaumburg
RID;RIeDenburg;Landkreis Kelheim
RIE;RIEsa;Landkreis Meißen
RL;RochLitz;Landkreis Mittelsachsen
RM;Röbel/Müritz;
RN;RatheNow;Landkreis Havelland
RO;ROsenheim;Stadt Rosenheim
ROD;RODing;
ROF;ROtenburg an der Fulda;Landkreis Hersfeld-Rotenburg
ROK;ROcKenhausen;Donnersbergkreis
ROL;ROttenburg an der Laaber;Landkreis Landshut
ROS;ROStock;Landkreis Rostock
ROT;ROthenburg ob der Tauber;Landkreis Ansbach
ROW;ROtenburg (Wümme);Landkreis Rotenburg Wümme
RP;Rhein-Pfalz;Rhein-Pfalz-Kreis
RPL;Rheinland-Pfälzischer Landtag;Rheinland-Pfalz
RS;RemScheid;Stadt Remscheid
RSL;RosSLau;Stadt Dessau-Roßlau
RT;ReuTlingen;Landkreis Reutlingen
RU;RUdolstadt;Landkreis Saalfeld-Rudolstadt
RÜD;RÜDesheim;Rheingau-Taunus-Kreis
RÜG;RÜGen;Landkreis Vorpommern-Rügen
RV;RaVensburg;Landkreis Ravensburg
RW;RottWeil;Landkreis Rottweil
RZ;RatZeburg;Kreis Herzogtum Lauenburg
S;Stuttgart;Stadt Stuttgart
SAB;SAarBurg;Landkreis Trier-Saarburg
SAD;SchwAnDorf;Landkreis Schwandorf
SAL;SAarländischer Landtag;Saarland
SAN;StAdtsteiNach;
SAW;SAlzWedel;Altmarkkreis Salzwedel
SB;SaarBrücken;Landkreis Saarbrücken
SBG;StrasBurG;Landkreis Vorpommern-Greifswald
SBK;SchöneBecK;Salzlandkreis
SC;SChwabach;Stadt Schwabach
SCZ;SChleiZ;Saale-Orla-Kreis
SDH;SonDersHausen;Kyffhäuserkreis
SDL;StenDaL;Landkreis Stendal
SDT;SchweDT;Landkreis Uckermark
SE;SEgeberg;Kreis Segeberg
SEB;SEBnitz;Landkreis Sächsische Schweiz-Osterzgebirge
SEE;SEElow;Landkreis Märkisch-Oderland
SEF;SchEinFeld;
SEL;SELb;Landkreis Wunsiedel im Fichtelgebirge
SFB;SenFtenBerg;Landkreis Oberspreewald-Lausitz
SFT;StaßFurT;Salzlandkreis
SG;SolinGen;Stadt Solingen
SGH;SanGerHausen;Landkreis Mansfeld-Südharz
SH;Schleswig-Holstein;Schleswig-Holstein
SHA;Schwäbisch HAll;Landkreis Schwäbisch Hall
SHG;StadtHaGen;Landkreis Schaumburg
SHK;Saale-Holzland-Kreis;Saale-Holzland-Kreis
SHL;SuHL;Stadt Suhl
SI;SIegen;Kreis Siegen-Wittgenstein
SIG;SIGmaringen;Landkreis Sigmaringen
SIM;SIMmern;Rhein-Hunsrück-Kreis
SK;SaaleKreis;Saalekreis
SL;SchLeswig;Kreis Schleswig-Flensburg
SLE;SchLEiden;Kreis Düren, Kreis Euskirchen
SLF;SaaLFeld;Landkreis Saalfeld-Rudolstadt
SLK;SalzLandKreis;Salzlandkreis
SLN;SchmölLN;Landkreis Altenburger Land
SLS;SaarLouiS;Landkreis Saarlouis
SLÜ;SchLÜchtern;Main-Kinzig-Kreis ohne die Stadt Hanau
SLZ;SaLZungen;Wartburgkreis
SM;SchMalkalden;Landkreis Schmalkalden-Meiningen
SMÜ;SchwabMÜnchen;Landkreis Augsburg
SN;SchweriN;Stadt Schwerin
SO;SOest;Kreis Soest
SOB;SchrOBenhausen;Landkreis Neuburg-Schrobenhausen
SOG;SchOnGau;Landkreis Weilheim-Schongau
SOK;Saale-Orla-Kreis;Saale-Orla-Kreis
SÖM;SÖMmerda;Landkreis Sömmerda
SON;SONneberg;Landkreis Sonneberg
SP;SPeyer;Stadt Speyer
SPB;SPremBerg;Landkreis Spree-Neiße
