	intent	text
17	SGBII_AufstockendeLeistungen	ja, ich bekomme Arbeitslosengeld, aber das reicht mir nicht.
326	Arbeitsvermittlung_Bildungsgutschein	Könnt ihr mit Bildungsgutscheine geben?
214	Teilarbeitslosengeld_Beantragung	Geld wegen Teilarbeitslosigkeit
145	ALG_Anspruchshoehe	Kriege ich mehr Arbeitslosengeld, weil ich ein Kind habe?
238	Veraenderungsmitteilung_eService_Bankverbindung	Ich habe geheiratet!
332	Arbeitsvermittlung_Probearbeit_Mitteilung	Ich habe ein Praktikumsplatz!
128	ALG_Kuendigung	Ich wurde gekündigt und will jetzt Arbeitslosengeld haben.
104	ALG_Widerspruch_Leistungsbescheid	Ich hab in den leistungsbescheid, den ich bekommen hab, da sind Sachen die stimmen überhaupt nicht.
322	Arbeitsvermittlung_Bildungsgutschein	Wie komme ich an diese Gutscheine?
416	KUG_Arbeitszeitnachweis	Kontrolliert ihr meine Arbeitszeit?
404	KUG_Weiterfuehrende_Informationen	Habt ihr irgendwo mehr Infos zur Kurzarbeit?
11	SGBII_Mietkostenuebernahme	Könnt ihr mir mit meiner Miete helfen?
241	Veraenderungsmitteilung_eService_Bankverbindung	Es gibt eine Veränderung.
92	ALG_TempArbeit	Arbeitslos aber kurz was arbeiten, geht das?
109	ALG_Widerspruch_Leistungsbescheid	Da sind Fehler im Leistungsbescheid!
274	ALG_Mitteilung_Ortsabwesenheit	Ich will endlich in den Urlaub fahren, ok?
159	ALG_Nebeneinkommen	Kann ich als Arbeitslose einen Minijo annehmen?
78	Webseite_Verifizierung	Ich möchte mich gern verifizieren, ich hab so ne Meldung da auf der Website bekommen.
24	SGBII_AufstockendeLeistungen	Ich will mit euch zu meinem Arbeitslosengeld sprechen.
396	KUG_Berechnung	Wieviel Gehalt gibts in der Kurzarbeit?
314	Arbeitsvermittlung_Vermittlungsvorschlag	Ich will eure Vermittlung nicht!
143	ALG_Anspruchshoehe	Wieviel Geld gebt ihr mir, wenn ich arbeitslos bin?
96	ALG_Auszahlung	Wann bekomme ich das Geld von euch überwiesen?
334	Arbeitsvermittlung_Probearbeit_Mitteilung	Ich hab bald ein Praktikum.
132	ALG_Kuendigung	Man hat mich gefeuert, jetzt brauche ich Geld.
182	ALG_Sperrzeit_Krankenversicherung	Was passiert denn jetzt bitte mit meinen Versicherungen, wenn ich gesperrt bin?
60	ALG_Unterschied_Arbeitslos_Arbeitssuchend	
172	ALG_Sperrzeit	Ich habe Angst vor einer Sperre.
94	ALG_Auszahlung	Wann bekomme ich denn jetzt endlich meiner Arbeitslosen?
270	ALG_Mitteilung_Ortsabwesenheit	Ich fahre in den Urlaub und wollt euch Bescheid sagen.
136	ALG_Anrechnung_Leistungen	Ich vermiete eine Wohnung, hat das Einfluss auf mein Arbeitslosengeld?
410	KUG_Arbeitszeitnachweis	Gibt’s eine Arbeitsstundenprüfung?
188	ALG_Abfindung	Wenn ich eine Abfindung bekomme, krieg ich dann weniger Arbeitslosengeld?
207	Teilarbeitslosengeld_Erklaerung	Ich habe meine eine Stelle verloren, krieg ich jetzt Geld?
177	ALG_Sperrzeit	Sperrzeitprüfung, was ist das?
376	KUG_Anspruchsvoraussetzungen	Gibt’s für jeden Kurzarbeit?
118	ALG_Anspruchsbedingungen	Muss ich länger gearbeitet haben für Arbeitslosengeld?
68	Veraenderungsmitteilung_NeueStelle	Ich muss mich abmelden, ich hab eine neue Arbeit.
319	Arbeitsvermittlung_Vermittlungsvorschlag	Soll ich mich jetzt bewerben auf Ihren Vermittlungsvorschlag?
81	Webseite_Verifizierung	Verifizierung durchführen?
289	Allgemein_Arbeitsbescheinigung_Erklaerung	Wozu eine Arbeitsbescheinigung?
420	KUG_Sozialversicherung	Kurzarbeitergeld und Sozialversicherung?
225	ALG_Beitraege_Sozialversicherungen	Wie hoch ist meine Krankenversicherung?
252	Veraenderungsmitteilung_schriftlich_Rente	Ich bin jetzt Rentnerin.
157	ALG_Nebeneinkommen	Kann ich einen Nebenjob annehmen, aber trotzdem mein Arbeitslosengeld kriegen?
200	Teilarbeitslosengeld_Anspruchsdauer	Kann ich Teilarbeitslosengeld länger bekommen?
144	ALG_Anspruchshoehe	Woher weiss ich, wieviel Arbeitslosengeld ich krieg?
125	ALG_Anspruchsdauer	Bis wann zahlt ihr mir Arbeitslosengeld?
269	Veraenderungsmitteilung_Umzug	Ich hab eine neue Wohnung!
325	Arbeitsvermittlung_Bildungsgutschein	Bekomme ich bei Ihnen Bildungsgutscheine?
288	Allgemein_Arbeitsbescheinigung_Erklaerung	Wer bescheinigt mir meine Arbeit?
350	ALG_Anfrage_Bearbeitungsstand	Wieso bearbeitet ihr meinen Antrag nicht?
98	ALG_Auszahlung	Wann gibt’s denn immer das Arbeitslosengeld?
227	ALG_Beitraege_Sozialversicherungen	Wieviel zahlt mein Chef in meine Sozialversicherung?
340	Arbeitsvermittlung_Betreuer_erreichen	Kann mich mal einer zurückrufen?
28	ALG_Arbeitssuchend_melden	Kann ich mich bei euch arbeitssuchend melden?
163	ALG_Nebeneinkommen	
216	Teilarbeitslosengeld_Beantragung	Was gibts denn, wenn ich teilarbeitslos bin?
5	SGBII_Unterschied_SGBIII	Was soll denn bitte der Unterschied sein bei ALG und Jobcenter?
374	Allgemein_Ausbildungssuchend_Nachweis	Ich bin auf Ausbildungssuche, könnt ihr mir das bestätigen?
6	SGBII_Unterschied_SGBIII	Ist Jobcenter das gleiche wie Arbeitsagentur?
14	SGBII_Mietkostenuebernahme	Mir reicht das Geld nicht für die Miete.
84	Webseite_Verifizierung	Verifikation, was soll das sein?
170	ALG_Aenderung_Anspruchsdauer_2020	Mir wurde gesagt, dass das Arbeitslosengeld verlängert wird, stimmt das?
67	Veraenderungsmitteilung_NeueStelle	Was muss ich jetzt machen: ich geh bald wieder arbeiten.
391	KUG_Berechnung	Berechnet ihr das Kurzarbeitergeld?
218	ALG_Beitraege_Private_Krankenversicherung	Wer zahlt meine private Krankenversicherung?
87	ALG_TempArbeit	Ja, ich hab jetzt irgendwie für für den nächsten Monat für Januar hab ich ne Stelle äh, Wie ist das, muss ich mich dann danach neu bei euch arbeitslos melden?
364	Allgemein_Rehaspezifische_Foerderung	Kann ich eine Förderung für meine Reha bekommen?
131	ALG_Kuendigung	Ich wurde gekündigt und brauche Arbeitslosengeld.
277	ALG_Anfrage_Unterlagen_vollstaendig	Habt ihr meine Unterlagen bekommen?
223	ALG_Beitraege_Private_Krankenversicherung	Ich wurde rausgeschmissen, will aber meine private Krank
37	ALG_Meldung_Wann	Wann muss ich melden, dass ich arbeitslos bin?
259	Veraenderungsmitteilung_schriftlich_Krankenkasse	Wechsel meiner Krankenkasse.
191	Teilarbeitslosengeld_Anspruchshoehe	Wieviel Geld bekomme ich, wenn ich teilarbeitslos bin?
103	ALG_Widerspruch_Leistungsbescheid	Ich habe leistungsbescheid von euch bekommen, spinnt jawohl.
368	Allgemein_Rehaspezifische_Foerderung	Ich will eine Reha machen und brauche Unterstützung.
36	ALG_Meldung_Wann	Ich verlier meinen Job, bin also bald arbeitslos und das möchte ich euch mitteilen.
338	Arbeitsvermittlung_Betreuer_erreichen	Kann mich mal ein Berater zurückrufen?
351	KUG_Auszahlung	Wann bekomme ich mein Kurzarbeitgeld?
373	Allgemein_Ausbildungssuchend_Nachweis	Ich brauche eine Bestätigung von euch, dass ich eine Ausbildung suche.
75	ALG_Aussteuerung	Ich bekomme bald kein Krankengeld mehr, woher bekomme ich dann Geld?
394	KUG_Berechnung	Berechnet ihr oder mein Chef mein Kurzarbeitergeld?
48	ALG_Arbeitslos_melden	Ich brauch Arbeitslosengeld, wie kann ich das beantragen?
297	Allgemein_Oeffnungszeiten_BA	Wann habt ihr offen?
258	Veraenderungsmitteilung_schriftlich_Krankenkasse	Ich habe die Krankenkasse gewechselt.
101	ALG_Auszahlung	Wann bekomme ich mein Arbeitslosengeld von euch?
406	KUG_Weiterfuehrende_Informationen	Gibts die Kurzarbeit Infos auch online?
375	KUG_Anspruchsvoraussetzungen	Was muss passieren, damit ich Kurzarbeitergeld bekomme?
283	ALG_Anfrage_Unterlagen_vollstaendig	Was fehlt denn noch?
281	ALG_Anfrage_Unterlagen_vollstaendig	Sind alle Unterlagen angekommen?
134	ALG_Anrechnung_Leistungen	Ich hab ein Kind bekommen, krieg ich jetzt mehr Arbeitslosengeld?
29	ALG_Arbeitssuchend_melden	Ich bin auf Jobsuche.
312	Arbeitsvermittlung_Vermittlungsgutschein	Kann ich mal so einen Vermittlungsgutschein kriegen?
52	ALG_Arbeitslos_melden	Ich muss mich leider arbeitslos melden.
284	Allgemein_Arbeitsbescheinigung_Erklaerung	Was soll eine Arbeitsbescheinigung sein?
4	SGBII_Unterschied_SGBIII	Jobcenter oder Arge, wo ist der Unterschied?
399	KUG_Weiterfuehrende_Informationen	Gibt’s eure  Kurzarbeit Formulare auch online?
111	ALG_Widerspruch_Leistungsbescheid	Ich widerspreche dem Leistungsbescheid!
330	Arbeitsvermittlung_Bildungsgutschein	Gibts Gutscheine für Bildung?
349	ALG_Anfrage_Bearbeitungsstand	Ist mein Antrag endlich fertig?
230	ALG_Krankenversicherung	Meine Krankenversicherung hat mich rausgeschmissen.
337	Arbeitsvermittlung_Probearbeit_Mitteilung	Muss ich Ihnen Bescheid geben, wenn ich ein Praktikum mache?
385	KUG_Krankheit	Ich bin in Kurzarbeit, bin aber krank geworden, bekomme ich mein Geld?
12	SGBII_Mietkostenuebernahme	Ich schaffs nicht, meine Miete zu zahlen, ich brauch Hilfe.
425	KUG_Sozialversicherung	Wer zahlt meine Sozialversicherung?
287	Allgemein_Arbeitsbescheinigung_Erklaerung	Könnt ihr mir bescheinigen, dass ich arbeite?
141	ALG_Anspruchshoehe	Was gebt ihr mir an Arbeitslosengeld?
245	Veraenderungsmitteilung_eService_Bankverbindung	Es gibt Neuigkeiten.
55	ALG_Unterschied_Arbeitslos_Arbeitssuchend	Was soll denn arbeitssuche und arbeitslos sein?
244	Veraenderungsmitteilung_eService_Bankverbindung	Ich habe eine Änderung.
77	ALG_Aussteuerung	Wenn mein Krankengeld alle ist, kann ich mich dann arbeitslos melden?
212	Teilarbeitslosengeld_Beantragung	Wo bekomme ich Teilarbeitslosengeld her?
202	Teilarbeitslosengeld_Erklaerung	Was soll denn bitte Teilarbeitslosengeld sein?
117	ALG_Anspruchsbedingungen	Wie lange muss ich gearbeitet haben, damit ich Arbeitslosengeld krieg?
180	ALG_Sperrzeit_Krankenversicherung	Wurde gesperrt, bin ich noch krankenversichert?
313	Arbeitsvermittlung_Vermittlungsvorschlag	Ich find euren Vermittlungsvorschlag doof!
40	ALG_Meldung_Wann	Wann melde ich mich arbeitssuchend?
193	Teilarbeitslosengeld_Anspruchshoehe	Was bekomme ich denn an Geld für Teilarbeitslos?
7	SGBII_Unterschied_SGBIII	Ist Agentur für Arbeit das gleiche wie das Jobcenter?
315	Arbeitsvermittlung_Vermittlungsvorschlag	Ihr habt mir eine Vermittung vorgeschlagen, das will ich aber nicht.
353	KUG_Auszahlung	Bekomme ich mein Kurzarbeitergeld früher?
83	Webseite_Verifizierung	Was ist verifieren?
43	ALG_Arbeitslos_melden	Ich bin jetzt leider arbeitslos.
345	ALG_Anfrage_Bearbeitungsstand	Wie weit seid ihr mit meinem Antrag?
196	Teilarbeitslosengeld_Anspruchshoehe	Ich bin teilarbeitslos, wieviel Geld bekomme ich dann?
116	ALG_Anspruchsbedingungen	Was muss passieren, damit ich Arbeitslosengeld bekomme?
148	ALG_Nettoentgelt_Erklaerung	Was ist Nettogeld?
235	ALG_Krankenversicherung	Warum kann ich nicht in meiner Krankenversicherung bleiben?
365	Allgemein_Rehaspezifische_Foerderung	Ich brauche Hilfe für meine Reha.
263	Veraenderungsmitteilung_Umzug	Ich hab eine neue Adresse.
47	ALG_Arbeitslos_melden	Ich wurde entlassen, wie bekomme ich jetzt Arbeitslosengeld?
165	ALG_Aenderung_Anspruchsdauer_2020	Bekomme ich wirklich länger Arbeitslosengeld?
395	KUG_Berechnung	Wieviel Gehalt bekomme ich während der Kurzarbeit?
286	Allgemein_Arbeitsbescheinigung_Erklaerung	Wo gibt’s eine Bescheinigung zu meiner Arbeit?
